surface_name    site_name   species_name    formation_energy    frequencies reference
None    gas CH4 0   []  catapp
None    gas CO2 0   []  catapp
None    gas CO  1.28    []  catapp
None    gas H2  0   []  catapp
Pt	111	CH2O-H	2.19	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Cu  111 C   4.27    [455.9,468.2,469.2]	jsy
Cu  111 C-H 4.995   [1238.2,658.6,495.8,434.6,346.4]	jsy
Cu  111 C-O 6.42    [506.9,420.5,385.3,330.8,219.4]	jsy
Cu  111 CH  2.795   [379.0,380.0,503.1,599.3,599.4,3065.5]	jsy
Cu  111 CH-H    3.51    [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Cu  111 CH2 2.31    [152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	jsy
Cu  111 CH2-H   2.875   [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Cu  111 CH3 1.275   [95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]  jsy
Cu  111 CH3-H   1.9 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Cu  111 CO  0.92    [2040.0,306.9,268.2,261.1,99.7,68.7]	jsy
Cu  111 CO-O    1.8 [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Cu  111 H   -0.075  [978.2,768.0,764.8]	jsy
Cu  111 H-H 0.705   [1224.9,1016.8,814.3,376.5,311.2]	jsy
Cu  111 O   0.38    [413.6,381.7,381.6]	jsy
Ni  111 C   0.9 [455.9,468.2,469.2]	jsy
Ni  111 C-H 1.71    [1238.2,658.6,495.8,434.6,346.4]	jsy
Ni  111 C-O 0   [506.9,420.5,385.3,330.8,219.4]	jsy
Ni  111 CH  0.31    [379.0,380.0,503.1,599.3,599.4,3065.5]	jsy
Ni  111 CH-H    1   [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Ni  111 CH2 0.66    [152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	jsy
Ni  111 CH2-H   1.34    [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Ni  111 CH3 0.54    [95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]  jsy
Ni  111 CH3-H   1.3 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Ni  111 CO  -0.02   [2040.0,306.9,268.2,261.1,99.7,68.7]	jsy
Ni  111 CO-O    0.89    [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Ni  111 H   0   [978.2,768.0,764.8]	jsy
Ni  111 H-H 0   [1224.9,1016.8,814.3,376.5,311.2]	jsy
Ni  111 O   -0.36   [413.6,381.7,381.6]	jsy
Ag	111	O-H	3.27	[822.2,438.8,407.2,309.1,245.7]	jsy
Cu	111	O-H	2.07	[822.2,438.8,407.2,309.1,245.7]	jsy
Pd	111	O-H	1.88	[822.2,438.8,407.2,309.1,245.7]	jsy
Pt	111	O-H	2.16	[822.2,438.8,407.2,309.1,245.7]	jsy
Rh	111	O-H	1.55	[822.2,438.8,407.2,309.1,245.7]	jsy
Ag	111	CH2-OH	4.39	[3641.0,3125.9,3042.3,1359.6,896.0,732.5,680.5,562.7,478.6,384.4,321.2,164.3,94.5,73.1]	jsy
Cu	111	CH2-OH	3.52	[3641.0,3125.9,3042.3,1359.6,896.0,732.5,680.5,562.7,478.6,384.4,321.2,164.3,94.5,73.1]	jsy
Pd	111	CH2-OH	2.9	[3641.0,3125.9,3042.3,1359.6,896.0,732.5,680.5,562.7,478.6,384.4,321.2,164.3,94.5,73.1]	jsy
Pt	111	CH2-OH	2.84	[3641.0,3125.9,3042.3,1359.6,896.0,732.5,680.5,562.7,478.6,384.4,321.2,164.3,94.5,73.1]	jsy
Rh	111	CH2-OH	2.44	[3641.0,3125.9,3042.3,1359.6,896.0,732.5,680.5,562.7,478.6,384.4,321.2,164.3,94.5,73.1]	jsy
Ag	111	CH-OH	5.65	[3636.7,3097.8,904.1,727.9,609.3,467.3,367.9,347.1,256.7,171.2,119.7]	jsy
Cu	111	CH-OH	4.27	[3636.7,3097.8,904.1,727.9,609.3,467.3,367.9,347.1,256.7,171.2,119.7]	jsy
Pd	111	CH-OH	3.06	[3636.7,3097.8,904.1,727.9,609.3,467.3,367.9,347.1,256.7,171.2,119.7]	jsy
Pt	111	CH-OH	2.93	[3636.7,3097.8,904.1,727.9,609.3,467.3,367.9,347.1,256.7,171.2,119.7]	jsy
Rh	111	CH-OH	2.46	[3636.7,3097.8,904.1,727.9,609.3,467.3,367.9,347.1,256.7,171.2,119.7]	jsy
Ag	111	C-OH	7.31	[3634.2,657.7,500.8,385.6,378.9,304.6,242.4,95.9]	jsy
Cu	111	C-OH	5.64	[3634.2,657.7,500.8,385.6,378.9,304.6,242.4,95.9]	jsy
Pd	111	C-OH	3.82	[3634.2,657.7,500.8,385.6,378.9,304.6,242.4,95.9]	jsy
Pt	111	C-OH	3.76	[3634.2,657.7,500.8,385.6,378.9,304.6,242.4,95.9]	jsy
Rh	111	C-OH	3.27	[3634.2,657.7,500.8,385.6,378.9,304.6,242.4,95.9]	jsy
Ag	111	CO-H	5.5	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Cu	111	CO-H	4.39	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Pd	111	CO-H	2.8	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Pt	111	CO-H	2.73	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Rh	111	CO-H	2.64	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	jsy
Ag	111	CHO-H	4.34	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Cu	111	CHO-H	3.66	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Pd	111	CHO-H	2.77	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Pt	111	CHO-H	2.6	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Rh	111	CHO-H	2.52	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	jsy
Ag	111	CH2O-H	3.57	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Cu	111	CH2O-H	3.18	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Pd	111	CH2O-H	2.42	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Pt	111	CH2O-H	2.19	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
